#tech mapping,,,,
sector,nestingsubsector,subsector,technology,tech_map
airCO2,airCO2,N/A,airCO2,DACCS
CO2 removal,dac,N/A,hightemp DAC NG,DACCS
CO2 removal,dac,N/A,hightemp DAC elec,DACCS
CO2 removal,dac,N/A,lowtemp DAC heatpump,DACCS
H2 central production,biomass,N/A,biomass to H2,Industry
H2 central production,biomass,N/A,biomass to H2 CCS,Industry
H2 central production,coal,N/A,coal chemical,Industry
H2 central production,coal,N/A,coal chemical CCS,Industry
H2 central production,gas,N/A,natural gas steam reforming,Industry
H2 central production,gas,N/A,natural gas steam reforming CCS,Industry
H2 forecourt production,gas,N/A,natural gas steam reforming,Industry
N fertilizer,coal,N/A,coal,Industry
N fertilizer,coal,N/A,coal CCS,Industry
N fertilizer,gas,N/A,gas,Industry
N fertilizer,gas,N/A,gas CCS,Industry
N fertilizer,refined liquids,N/A,refined liquids,Industry
backup_electricity,gas,N/A,gas (steam/CT),Electricity
base load generation,biomass,"biomass_base_IGCC,depth=1",biomass (IGCC) (dry cooling),Bioelectricity
base load generation,biomass,"biomass_base_IGCC,depth=1",biomass (IGCC) (recirculating),Bioelectricity
base load generation,biomass,"biomass_base_IGCC,depth=1",biomass (IGCC) (seawater),Bioelectricity
base load generation,biomass,"biomass_base_IGCC_CCS,depth=1",biomass (IGCC CCS) (dry cooling),BECCS electricity
base load generation,biomass,"biomass_base_IGCC_CCS,depth=1",biomass (IGCC CCS) (recirculating),BECCS electricity
base load generation,biomass,"biomass_base_IGCC_CCS,depth=1",biomass (IGCC CCS) (seawater),BECCS electricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (cooling pond),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (dry cooling),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (once through),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (recirculating),Bioelectricity
base load generation,biomass,"biomass_base_conv,depth=1",biomass (conv) (seawater),Bioelectricity
base load generation,biomass,"biomass_base_conv_CCS,depth=1",biomass (conv CCS) (dry cooling),BECCS electricity
base load generation,biomass,"biomass_base_conv_CCS,depth=1",biomass (conv CCS) (recirculating),BECCS electricity
base load generation,biomass,"biomass_base_conv_CCS,depth=1",biomass (conv CCS) (seawater),BECCS electricity
base load generation,coal,"coal_base_IGCC_CCS,depth=1",coal (IGCC CCS) (dry cooling),Electricity
base load generation,coal,"coal_base_IGCC_CCS,depth=1",coal (IGCC CCS) (recirculating),Electricity
base load generation,coal,"coal_base_IGCC_CCS,depth=1",coal (IGCC CCS) (seawater),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul before 1950,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1951-1955,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1956-1960,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1961-1965,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1966-1970,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1971-1975,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1976-1980,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1981-1985,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1986-1990,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1991-1995,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 1996-2000,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 2001-2005,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 2006-2010,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 2006-2010,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 2006-2010,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 2006-2010,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 2006-2010,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul 2011-2015,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul 2011-2015,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul 2011-2015,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul 2011-2015,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul 2011-2015,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul,depth=1",coal (conv pul) (seawater),Electricity
base load generation,coal,"coal_base_conv pul_CCS,depth=1",coal (conv pul CCS) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul_CCS,depth=1",coal (conv pul CCS) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul_CCS,depth=1",coal (conv pul CCS) (seawater),Electricity
base load generation,coal,"coal_base_conv pul_retire_2020,depth=1",coal (conv pul) (cooling pond),Electricity
base load generation,coal,"coal_base_conv pul_retire_2020,depth=1",coal (conv pul) (dry cooling),Electricity
base load generation,coal,"coal_base_conv pul_retire_2020,depth=1",coal (conv pul) (once through),Electricity
base load generation,coal,"coal_base_conv pul_retire_2020,depth=1",coal (conv pul) (recirculating),Electricity
base load generation,coal,"coal_base_conv pul_retire_2020,depth=1",coal (conv pul) (seawater),Electricity
base load generation,gas,"gas_base_CC,depth=1",gas (CC) (cooling pond),Electricity
base load generation,gas,"gas_base_CC,depth=1",gas (CC) (dry cooling),Electricity
base load generation,gas,"gas_base_CC,depth=1",gas (CC) (once through),Electricity
base load generation,gas,"gas_base_CC,depth=1",gas (CC) (recirculating),Electricity
base load generation,gas,"gas_base_CC,depth=1",gas (CC) (seawater),Electricity
base load generation,gas,"gas_base_CC_CCS,depth=1",gas (CC CCS) (dry cooling),Electricity
base load generation,gas,"gas_base_CC_CCS,depth=1",gas (CC CCS) (recirculating),Electricity
base load generation,gas,"gas_base_CC_CCS,depth=1",gas (CC CCS) (seawater),Electricity
base load generation,refined liquids,"refined liquids_base_CC,depth=1",refined liquids (CC) (dry cooling),Electricity
base load generation,refined liquids,"refined liquids_base_CC,depth=1",refined liquids (CC) (recirculating),Electricity
base load generation,refined liquids,"refined liquids_base_CC,depth=1",refined liquids (CC) (seawater),Electricity
base load generation,refined liquids,"refined liquids_base_CC_CCS,depth=1",refined liquids (CC CCS) (dry cooling),Electricity
base load generation,refined liquids,"refined liquids_base_CC_CCS,depth=1",refined liquids (CC CCS) (recirculating),Electricity
base load generation,refined liquids,"refined liquids_base_CC_CCS,depth=1",refined liquids (CC CCS) (seawater),Electricity
base load generation,refined liquids,"refined liquids_base_steam/CT,depth=1",refined liquids (steam/CT) (cooling pond),Electricity
base load generation,refined liquids,"refined liquids_base_steam/CT,depth=1",refined liquids (steam/CT) (dry cooling),Electricity
base load generation,refined liquids,"refined liquids_base_steam/CT,depth=1",refined liquids (steam/CT) (once through),Electricity
base load generation,refined liquids,"refined liquids_base_steam/CT,depth=1",refined liquids (steam/CT) (recirculating),Electricity
base load generation,refined liquids,"refined liquids_base_steam/CT,depth=1",refined liquids (steam/CT) (seawater),Electricity
biomass liquids,biomass liquids,N/A,FT biofuels,Bioliquids
biomass liquids,biomass liquids,N/A,FT biofuels CCS level 1,BECCS liquids
biomass liquids,biomass liquids,N/A,FT biofuels CCS level 2,BECCS liquids
biomass liquids,biomass liquids,N/A,biodiesel,Bioliquids
biomass liquids,biomass liquids,N/A,cellulosic ethanol,Bioliquids
biomass liquids,biomass liquids,N/A,cellulosic ethanol CCS level 1,BECCS liquids
biomass liquids,biomass liquids,N/A,cellulosic ethanol CCS level 2,BECCS liquids
biomass liquids,biomass liquids,N/A,corn ethanol,Bioliquids
cement,cement,N/A,cement,Industry
cement,cement,N/A,cement CCS,Industry
coal to liquids,coal to liquids,N/A,coal to liquids CCS level 1,Refining
coal to liquids,coal to liquids,N/A,coal to liquids CCS level 2,Refining
comm cooking,gas,N/A,gas range,Buildings
comm cooking,gas,N/A,gas range hi-eff,Buildings
comm cooling,gas,N/A,gas,Buildings
comm cooling,gas,N/A,gas cooling,Buildings
comm heating,biomass,N/A,biomass,Buildings
comm heating,biomass,N/A,wood furnace,Buildings
comm heating,coal,N/A,coal,Buildings
comm heating,coal,N/A,coal furnace,Buildings
comm heating,gas,N/A,gas,Buildings
comm heating,gas,N/A,gas furnace,Buildings
comm heating,gas,N/A,gas furnace hi-eff,Buildings
comm heating,refined liquids,N/A,fuel furnace,Buildings
comm heating,refined liquids,N/A,refined liquids,Buildings
comm hot water,gas,N/A,gas water heater,Buildings
comm hot water,gas,N/A,gas water heater hi-eff,Buildings
comm hot water,refined liquids,N/A,fuel water heater,Buildings
comm other,gas,N/A,gas,Buildings
comm other,refined liquids,N/A,refined liquids,Buildings
comm others,biomass,N/A,biomass,Buildings
comm others,coal,N/A,coal,Buildings
comm others,gas,N/A,gas,Buildings
comm others,refined liquids,N/A,refined liquids,Buildings
csp_backup,gas,N/A,CSP gas hybrid mode,Buildings
desalinated water,gas,,distillation,Industry
desalinated water,refined liquids,,distillation,Industry
district heat,biomass,,biomass,Buildings
district heat,coal,,coal,Buildings
district heat,gas,,gas,Buildings
district heat,refined liquids,,refined liquids,Buildings
elec_biomass (IGCC CCS),biomass (IGCC CCS),,biomass (IGCC CCS) (dry cooling),BECCS electricity
elec_biomass (IGCC CCS),biomass (IGCC CCS),,biomass (IGCC CCS) (once through),BECCS electricity
elec_biomass (IGCC CCS),biomass (IGCC CCS),,biomass (IGCC CCS) (recirculating),BECCS electricity
elec_biomass (IGCC CCS),biomass (IGCC CCS),,biomass (IGCC CCS) (seawater),BECCS electricity
elec_biomass (IGCC),biomass (IGCC),,biomass (IGCC) (dry cooling),Bioelectricity
elec_biomass (IGCC),biomass (IGCC),,biomass (IGCC) (once through),Bioelectricity
elec_biomass (IGCC),biomass (IGCC),,biomass (IGCC) (recirculating),Bioelectricity
elec_biomass (IGCC),biomass (IGCC),,biomass (IGCC) (seawater),Bioelectricity
elec_biomass (conv CCS),biomass (conv CCS),,biomass (conv CCS) (dry cooling),BECCS electricity
elec_biomass (conv CCS),biomass (conv CCS),,biomass (conv CCS) (once through),BECCS electricity
elec_biomass (conv CCS),biomass (conv CCS),,biomass (conv CCS) (recirculating),BECCS electricity
elec_biomass (conv CCS),biomass (conv CCS),,biomass (conv CCS) (seawater),BECCS electricity
elec_biomass (conv),biomass (conv),,biomass (conv) (cooling pond),Bioelectricity
elec_biomass (conv),biomass (conv),,biomass (conv) (dry cooling),Bioelectricity
elec_biomass (conv),biomass (conv),,biomass (conv) (once through),Bioelectricity
elec_biomass (conv),biomass (conv),,biomass (conv) (recirculating),Bioelectricity
elec_biomass (conv),biomass (conv),,biomass (conv) (seawater),Bioelectricity
elec_coal (IGCC CCS),coal (IGCC CCS),,coal (IGCC CCS) (dry cooling),Electricity
elec_coal (IGCC CCS),coal (IGCC CCS),,coal (IGCC CCS) (once through),Electricity
elec_coal (IGCC CCS),coal (IGCC CCS),,coal (IGCC CCS) (recirculating),Electricity
elec_coal (IGCC CCS),coal (IGCC CCS),,coal (IGCC CCS) (seawater),Electricity
elec_coal (IGCC),coal (IGCC),,coal (IGCC) (dry cooling),Electricity
elec_coal (IGCC),coal (IGCC),,coal (IGCC) (once through),Electricity
elec_coal (IGCC),coal (IGCC),,coal (IGCC) (recirculating),Electricity
elec_coal (IGCC),coal (IGCC),,coal (IGCC) (seawater),Electricity
elec_coal (conv pul CCS),coal (conv pul CCS),,coal (conv pul CCS) (dry cooling),Electricity
elec_coal (conv pul CCS),coal (conv pul CCS),,coal (conv pul CCS) (once through),Electricity
elec_coal (conv pul CCS),coal (conv pul CCS),,coal (conv pul CCS) (recirculating),Electricity
elec_coal (conv pul CCS),coal (conv pul CCS),,coal (conv pul CCS) (seawater),Electricity
elec_coal (conv pul),coal (conv pul),,coal (conv pul) (cooling pond),Electricity
elec_coal (conv pul),coal (conv pul),,coal (conv pul) (dry cooling),Electricity
elec_coal (conv pul),coal (conv pul),,coal (conv pul) (once through),Electricity
elec_coal (conv pul),coal (conv pul),,coal (conv pul) (recirculating),Electricity
elec_coal (conv pul),coal (conv pul),,coal (conv pul) (seawater),Electricity
elec_gas (CC CCS),gas (CC CCS),,gas (CC CCS) (dry cooling),Electricity
elec_gas (CC CCS),gas (CC CCS),,gas (CC CCS) (once through),Electricity
elec_gas (CC CCS),gas (CC CCS),,gas (CC CCS) (recirculating),Electricity
elec_gas (CC CCS),gas (CC CCS),,gas (CC CCS) (seawater),Electricity
elec_gas (CC),gas (CC),,gas (CC) (cooling pond),Electricity
elec_gas (CC),gas (CC),,gas (CC) (dry cooling),Electricity
elec_gas (CC),gas (CC),,gas (CC) (once through),Electricity
elec_gas (CC),gas (CC),,gas (CC) (recirculating),Electricity
elec_gas (CC),gas (CC),,gas (CC) (seawater),Electricity
elec_gas (steam/CT),gas (steam/CT),,gas (steam/CT) (cooling pond),Electricity
elec_gas (steam/CT),gas (steam/CT),,gas (steam/CT) (dry cooling),Electricity
elec_gas (steam/CT),gas (steam/CT),,gas (steam/CT) (once through),Electricity
elec_gas (steam/CT),gas (steam/CT),,gas (steam/CT) (recirculating),Electricity
elec_gas (steam/CT),gas (steam/CT),,gas (steam/CT) (seawater),Electricity
elec_refined liquids (CC CCS),refined liquids (CC CCS),,refined liquids (CC CCS) (dry cooling),Electricity
elec_refined liquids (CC CCS),refined liquids (CC CCS),,refined liquids (CC CCS) (once through),Electricity
elec_refined liquids (CC CCS),refined liquids (CC CCS),,refined liquids (CC CCS) (recirculating),Electricity
elec_refined liquids (CC CCS),refined liquids (CC CCS),,refined liquids (CC CCS) (seawater),Electricity
elec_refined liquids (CC),refined liquids (CC),,refined liquids (CC) (dry cooling),Electricity
elec_refined liquids (CC),refined liquids (CC),,refined liquids (CC) (once through),Electricity
elec_refined liquids (CC),refined liquids (CC),,refined liquids (CC) (recirculating),Electricity
elec_refined liquids (CC),refined liquids (CC),,refined liquids (CC) (seawater),Electricity
elec_refined liquids (steam/CT),refined liquids (steam/CT),,refined liquids (steam/CT) (cooling pond),Electricity
elec_refined liquids (steam/CT),refined liquids (steam/CT),,refined liquids (steam/CT) (dry cooling),Electricity
elec_refined liquids (steam/CT),refined liquids (steam/CT),,refined liquids (steam/CT) (once through),Electricity
elec_refined liquids (steam/CT),refined liquids (steam/CT),,refined liquids (steam/CT) (recirculating),Electricity
elec_refined liquids (steam/CT),refined liquids (steam/CT),,refined liquids (steam/CT) (seawater),Electricity
gas pipeline,gas pipeline,N/A,gas pipeline,Other transformation
gas processing,biomass gasification,N/A,biomass gasification,Other transformation
gas processing,coal gasification,N/A,coal gasification,Other transformation
gas to liquids,gas to liquids,N/A,gas to liquids,Refining
industrial energy use,biomass,N/A,biomass,Industry
industrial energy use,biomass,N/A,biomass cogen,Industry
industrial energy use,coal,N/A,coal,Industry
industrial energy use,coal,N/A,coal cogen,Industry
industrial energy use,gas,N/A,gas,Industry
industrial energy use,gas,N/A,gas cogen,Industry
industrial energy use,refined liquids,N/A,refined liquids,Industry
industrial energy use,refined liquids,N/A,refined liquids cogen,Industry
industrial feedstocks,coal,N/A,coal,Industry
industrial feedstocks,gas,N/A,gas,Industry
industrial feedstocks,refined liquids,N/A,refined liquids,Industry
intermediate generation,biomass,"biomass_int_IGCC,depth=1",biomass (IGCC) (dry cooling),Bioelectricity
intermediate generation,biomass,"biomass_int_IGCC,depth=1",biomass (IGCC) (recirculating),Bioelectricity
intermediate generation,biomass,"biomass_int_IGCC,depth=1",biomass (IGCC) (seawater),Bioelectricity
intermediate generation,biomass,"biomass_int_IGCC_CCS,depth=1",biomass (IGCC CCS) (dry cooling),BECCS electricity
intermediate generation,biomass,"biomass_int_IGCC_CCS,depth=1",biomass (IGCC CCS) (recirculating),BECCS electricity
intermediate generation,biomass,"biomass_int_IGCC_CCS,depth=1",biomass (IGCC CCS) (seawater),BECCS electricity
intermediate generation,biomass,"biomass_int_conv,depth=1",biomass (conv) (cooling pond),Bioelectricity
intermediate generation,biomass,"biomass_int_conv,depth=1",biomass (conv) (dry cooling),Bioelectricity
intermediate generation,biomass,"biomass_int_conv,depth=1",biomass (conv) (once through),Bioelectricity
intermediate generation,biomass,"biomass_int_conv,depth=1",biomass (conv) (recirculating),Bioelectricity
