#tech mapping,,,,
intermediate generation,biomass,"biomass_int_conv,depth=1",biomass (conv) (seawater),Bioelectricity
intermediate generation,biomass,"biomass_int_conv_CCS,depth=1",biomass (conv CCS) (dry cooling),BECCS electricity
intermediate generation,biomass,"biomass_int_conv_CCS,depth=1",biomass (conv CCS) (recirculating),BECCS electricity
intermediate generation,biomass,"biomass_int_conv_CCS,depth=1",biomass (conv CCS) (seawater),BECCS electricity
intermediate generation,coal,"coal_int_IGCC_CCS,depth=1",coal (IGCC CCS) (dry cooling),Electricity
intermediate generation,coal,"coal_int_IGCC_CCS,depth=1",coal (IGCC CCS) (recirculating),Electricity
intermediate generation,coal,"coal_int_IGCC_CCS,depth=1",coal (IGCC CCS) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul before 1950,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul before 1950,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul before 1950,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul before 1950,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul before 1950,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1951-1955,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1951-1955,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1951-1955,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1951-1955,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1956-1960,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1956-1960,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1956-1960,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1956-1960,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1956-1960,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1961-1965,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1961-1965,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1961-1965,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1961-1965,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1961-1965,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1966-1970,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1966-1970,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1966-1970,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1966-1970,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1966-1970,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1971-1975,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1971-1975,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1971-1975,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1971-1975,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1971-1975,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1976-1980,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1976-1980,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1976-1980,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1976-1980,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1976-1980,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1981-1985,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1981-1985,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1981-1985,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1981-1985,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1981-1985,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1986-1990,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1986-1990,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1986-1990,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1986-1990,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1986-1990,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1991-1995,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1991-1995,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1991-1995,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1991-1995,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1991-1995,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 1996-2000,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 1996-2000,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 1996-2000,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 1996-2000,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 1996-2000,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 2001-2005,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 2001-2005,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 2001-2005,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 2001-2005,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 2001-2005,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 2006-2010,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 2006-2010,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 2006-2010,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 2006-2010,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 2006-2010,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul 2011-2015,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul 2011-2015,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul 2011-2015,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul 2011-2015,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul 2011-2015,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul_retire_2020,depth=1",coal (conv pul) (cooling pond),Electricity
intermediate generation,coal,"coal_int_conv pul_retire_2020,depth=1",coal (conv pul) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul_retire_2020,depth=1",coal (conv pul) (once through),Electricity
intermediate generation,coal,"coal_int_conv pul_retire_2020,depth=1",coal (conv pul) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul_retire_2020,depth=1",coal (conv pul) (seawater),Electricity
intermediate generation,coal,"coal_int_conv pul_CCS,depth=1",coal (conv pul CCS) (dry cooling),Electricity
intermediate generation,coal,"coal_int_conv pul_CCS,depth=1",coal (conv pul CCS) (recirculating),Electricity
intermediate generation,coal,"coal_int_conv pul_CCS,depth=1",coal (conv pul CCS) (seawater),Electricity
intermediate generation,gas,"gas_int_CC,depth=1",gas (CC) (cooling pond),Electricity
intermediate generation,gas,"gas_int_CC,depth=1",gas (CC) (dry cooling),Electricity
intermediate generation,gas,"gas_int_CC,depth=1",gas (CC) (once through),Electricity
intermediate generation,gas,"gas_int_CC,depth=1",gas (CC) (recirculating),Electricity
intermediate generation,gas,"gas_int_CC,depth=1",gas (CC) (seawater),Electricity
intermediate generation,gas,"gas_int_CC_CCS,depth=1",gas (CC CCS) (dry cooling),Electricity
intermediate generation,gas,"gas_int_CC_CCS,depth=1",gas (CC CCS) (recirculating),Electricity
intermediate generation,gas,"gas_int_CC_CCS,depth=1",gas (CC CCS) (seawater),Electricity
intermediate generation,refined liquids,"refined liquids_int_CC,depth=1",refined liquids (CC) (dry cooling),Electricity
intermediate generation,refined liquids,"refined liquids_int_CC,depth=1",refined liquids (CC) (recirculating),Electricity
intermediate generation,refined liquids,"refined liquids_int_CC,depth=1",refined liquids (CC) (seawater),Electricity
intermediate generation,refined liquids,"refined liquids_int_CC_CCS,depth=1",refined liquids (CC CCS) (dry cooling),Electricity
intermediate generation,refined liquids,"refined liquids_int_CC_CCS,depth=1",refined liquids (CC CCS) (recirculating),Electricity
intermediate generation,refined liquids,"refined liquids_int_CC_CCS,depth=1",refined liquids (CC CCS) (seawater),Electricity
intermediate generation,refined liquids,"refined liquids_int_steam/CT,depth=1",refined liquids (steam/CT) (cooling pond),Electricity
intermediate generation,refined liquids,"refined liquids_int_steam/CT,depth=1",refined liquids (steam/CT) (dry cooling),Electricity
intermediate generation,refined liquids,"refined liquids_int_steam/CT,depth=1",refined liquids (steam/CT) (once through),Electricity
intermediate generation,refined liquids,"refined liquids_int_steam/CT,depth=1",refined liquids (steam/CT) (recirculating),Electricity
intermediate generation,refined liquids,"refined liquids_int_steam/CT,depth=1",refined liquids (steam/CT) (seawater),Electricity
oil refining,oil refining,N/A,oil refining,Refining
peak generation,coal,"coal_peak_conv pul,depth=1",coal (conv pul) (cooling pond),Electricity
peak generation,coal,"coal_peak_conv pul,depth=1",coal (conv pul) (dry cooling),Electricity
peak generation,coal,"coal_peak_conv pul,depth=1",coal (conv pul) (once through),Electricity
peak generation,coal,"coal_peak_conv pul,depth=1",coal (conv pul) (recirculating),Electricity
peak generation,coal,"coal_peak_conv pul,depth=1",coal (conv pul) (seawater),Electricity
peak generation,coal,"coal_peak_conv pul_retire_2020,depth=1",coal (conv pul) (cooling pond),Electricity
peak generation,coal,"coal_peak_conv pul_retire_2020,depth=1",coal (conv pul) (dry cooling),Electricity
peak generation,coal,"coal_peak_conv pul_retire_2020,depth=1",coal (conv pul) (once through),Electricity
peak generation,coal,"coal_peak_conv pul_retire_2020,depth=1",coal (conv pul) (recirculating),Electricity
peak generation,coal,"coal_peak_conv pul_retire_2020,depth=1",coal (conv pul) (seawater),Electricity
peak generation,gas,"gas_peak_CC,depth=1",gas (CC) (cooling pond),Electricity
peak generation,gas,"gas_peak_CC,depth=1",gas (CC) (dry cooling),Electricity
peak generation,gas,"gas_peak_CC,depth=1",gas (CC) (once through),Electricity
peak generation,gas,"gas_peak_CC,depth=1",gas (CC) (recirculating),Electricity
peak generation,gas,"gas_peak_CC,depth=1",gas (CC) (seawater),Electricity
peak generation,gas,"gas_peak_CC_CCS,depth=1",gas (CC CCS) (dry cooling),Electricity
peak generation,gas,"gas_peak_CC_CCS,depth=1",gas (CC CCS) (recirculating),Electricity
peak generation,gas,"gas_peak_CC_CCS,depth=1",gas (CC CCS) (seawater),Electricity
peak generation,gas,"gas_peak_steam/CT,depth=1",gas (steam/CT) (cooling pond),Electricity
peak generation,gas,"gas_peak_steam/CT,depth=1",gas (steam/CT) (dry cooling),Electricity
peak generation,gas,"gas_peak_steam/CT,depth=1",gas (steam/CT) (once through),Electricity
peak generation,gas,"gas_peak_steam/CT,depth=1",gas (steam/CT) (recirculating),Electricity
peak generation,gas,"gas_peak_steam/CT,depth=1",gas (steam/CT) (seawater),Electricity
peak generation,refined liquids,"refined liquids_peak_CC,depth=1",refined liquids (CC) (dry cooling),Electricity
peak generation,refined liquids,"refined liquids_peak_CC,depth=1",refined liquids (CC) (recirculating),Electricity
peak generation,refined liquids,"refined liquids_peak_CC,depth=1",refined liquids (CC) (seawater),Electricity
peak generation,refined liquids,"refined liquids_peak_CC_CCS,depth=1",refined liquids (CC CCS) (dry cooling),Electricity
peak generation,refined liquids,"refined liquids_peak_CC_CCS,depth=1",refined liquids (CC CCS) (recirculating),Electricity
peak generation,refined liquids,"refined liquids_peak_CC_CCS,depth=1",refined liquids (CC CCS) (seawater),Electricity
peak generation,refined liquids,"refined liquids_peak_steam/CT,depth=1",refined liquids (steam/CT) (cooling pond),Electricity
peak generation,refined liquids,"refined liquids_peak_steam/CT,depth=1",refined liquids (steam/CT) (dry cooling),Electricity
peak generation,refined liquids,"refined liquids_peak_steam/CT,depth=1",refined liquids (steam/CT) (once through),Electricity
peak generation,refined liquids,"refined liquids_peak_steam/CT,depth=1",refined liquids (steam/CT) (recirculating),Electricity
peak generation,refined liquids,"refined liquids_peak_steam/CT,depth=1",refined liquids (steam/CT) (seawater),Electricity
process heat cement,biomass,N/A,biomass,Industry
process heat cement,coal,N/A,coal,Industry
process heat cement,gas,N/A,gas,Industry
process heat cement,refined liquids,N/A,refined liquids,Industry
process heat dac,gas CCS,N/A,gas CCS,DACCS
refining,biomass liquids,,FT biofuels,Bioliquids
refining,biomass liquids,,FT biofuels CCS level 1,BECCS liquids
refining,biomass liquids,,FT biofuels CCS level 2,BECCS liquids
refining,biomass liquids,,biodiesel,Bioliquids
refining,biomass liquids,,cellulosic ethanol,Bioliquids
refining,biomass liquids,,cellulosic ethanol CCS level 1,BECCS liquids
refining,biomass liquids,,cellulosic ethanol CCS level 2,BECCS liquids
refining,biomass liquids,,corn ethanol,Bioliquids
refining,coal to liquids,,coal to liquids,Refining
refining,coal to liquids,,coal to liquids CCS level 1,Refining
refining,coal to liquids,,coal to liquids CCS level 2,Refining
refining,gas to liquids,,gas to liquids,Refining
refining,oil refining,,oil refining,Refining
regional biomass,regional biomass,N/A,regional biomass,Regional biomass
regional biomassOil,regional biomassOil,N/A,OilCrop,Regional biomass
regional biomassOil,regional biomassOil,N/A,PalmFruit,Regional biomass
regional corn for ethanol,regional corn for ethanol,N/A,regional corn for ethanol,Regional biomass
regional sugar for ethanol,regional sugar for ethanol,N/A,regional sugar for ethanol,Regional biomass
resid clothes dryers,gas,N/A,clothes dryer,Buildings
resid cooking,gas,N/A,gas oven,Buildings
resid cooking,gas,N/A,gas oven hi-eff,Buildings
resid cooking,refined liquids,N/A,lpg oven,Buildings
resid cooking,refined liquids,N/A,lpg oven hi-eff,Buildings
resid cooling,gas,N/A,gas,Buildings
resid heating,biomass,N/A,biomass,Buildings
resid heating,biomass,N/A,wood furnace,Buildings
resid heating,coal,N/A,coal,Buildings
resid heating,coal,N/A,coal furnace,Buildings
resid heating,gas,N/A,gas,Buildings
resid heating,gas,N/A,gas furnace,Buildings
resid heating,gas,N/A,gas furnace hi-eff,Buildings
resid heating,refined liquids,N/A,fuel furnace,Buildings
resid heating,refined liquids,N/A,fuel furnace hi-eff,Buildings
resid heating,refined liquids,N/A,refined liquids,Buildings
resid hot water,gas,N/A,gas water heater,Buildings
resid hot water,gas,N/A,gas water heater hi-eff,Buildings
resid hot water,refined liquids,N/A,fuel water heater,Buildings
resid hot water,refined liquids,N/A,fuel water heater hi-eff,Buildings
resid other,gas,N/A,gas,Buildings
resid other,refined liquids,N/A,refined liquids,Buildings
resid others,biomass,N/A,biomass,Buildings
resid others,coal,N/A,coal,Buildings
resid others,gas,N/A,gas,Buildings
resid others,refined liquids,N/A,refined liquids,Buildings
subpeak generation,coal,"coal_subpeak_conv pul,depth=1",coal (conv pul) (cooling pond),Electricity
subpeak generation,coal,"coal_subpeak_conv pul,depth=1",coal (conv pul) (dry cooling),Electricity
subpeak generation,coal,"coal_subpeak_conv pul,depth=1",coal (conv pul) (once through),Electricity
subpeak generation,coal,"coal_subpeak_conv pul,depth=1",coal (conv pul) (recirculating),Electricity
subpeak generation,coal,"coal_subpeak_conv pul,depth=1",coal (conv pul) (seawater),Electricity
subpeak generation,coal,"coal_subpeak_conv pul_retire_2020,depth=1",coal (conv pul) (cooling pond),Electricity
subpeak generation,coal,"coal_subpeak_conv pul_retire_2020,depth=1",coal (conv pul) (dry cooling),Electricity
subpeak generation,coal,"coal_subpeak_conv pul_retire_2020,depth=1",coal (conv pul) (once through),Electricity
subpeak generation,coal,"coal_subpeak_conv pul_retire_2020,depth=1",coal (conv pul) (recirculating),Electricity
subpeak generation,coal,"coal_subpeak_conv pul_retire_2020,depth=1",coal (conv pul) (seawater),Electricity
subpeak generation,gas,"gas_subpeak_CC,depth=1",gas (CC) (cooling pond),Electricity
subpeak generation,gas,"gas_subpeak_CC,depth=1",gas (CC) (dry cooling),Electricity
subpeak generation,gas,"gas_subpeak_CC,depth=1",gas (CC) (once through),Electricity
subpeak generation,gas,"gas_subpeak_CC,depth=1",gas (CC) (recirculating),Electricity
subpeak generation,gas,"gas_subpeak_CC,depth=1",gas (CC) (seawater),Electricity
subpeak generation,gas,"gas_subpeak_CC_CCS,depth=1",gas (CC CCS) (dry cooling),Electricity
subpeak generation,gas,"gas_subpeak_CC_CCS,depth=1",gas (CC CCS) (recirculating),Electricity
subpeak generation,gas,"gas_subpeak_CC_CCS,depth=1",gas (CC CCS) (seawater),Electricity
subpeak generation,gas,"gas_subpeak_steam/CT,depth=1",gas (steam/CT) (cooling pond),Electricity
subpeak generation,gas,"gas_subpeak_steam/CT,depth=1",gas (steam/CT) (dry cooling),Electricity
subpeak generation,gas,"gas_subpeak_steam/CT,depth=1",gas (steam/CT) (once through),Electricity
subpeak generation,gas,"gas_subpeak_steam/CT,depth=1",gas (steam/CT) (recirculating),Electricity
subpeak generation,gas,"gas_subpeak_steam/CT,depth=1",gas (steam/CT) (seawater),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_CC,depth=1",refined liquids (CC) (dry cooling),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_CC,depth=1",refined liquids (CC) (recirculating),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_CC,depth=1",refined liquids (CC) (seawater),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_CC_CCS,depth=1",refined liquids (CC CCS) (dry cooling),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_CC_CCS,depth=1",refined liquids (CC CCS) (recirculating),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_CC_CCS,depth=1",refined liquids (CC CCS) (seawater),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_steam/CT,depth=1",refined liquids (steam/CT) (cooling pond),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_steam/CT,depth=1",refined liquids (steam/CT) (dry cooling),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_steam/CT,depth=1",refined liquids (steam/CT) (once through),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_steam/CT,depth=1",refined liquids (steam/CT) (recirculating),Electricity
subpeak generation,refined liquids,"refined liquids_subpeak_steam/CT,depth=1",refined liquids (steam/CT) (seawater),Electricity
trn_aviation_intl,International Aviation,N/A,Liquids,Transportation
trn_freight,Domestic Ship,N/A,Liquids,Transportation
trn_freight,Freight Rail,N/A,Coal,Transportation
trn_freight,Freight Rail,N/A,Liquids,Transportation
trn_freight_road,Heavy truck,N/A,Liquids,Transportation
trn_freight_road,Heavy truck,N/A,NG,Transportation
trn_freight_road,Light truck,N/A,Liquids,Transportation
trn_freight_road,Light truck,N/A,NG,Transportation
trn_freight_road,Medium truck,N/A,Liquids,Transportation
trn_freight_road,Medium truck,N/A,NG,Transportation
trn_pass,Domestic Aviation,N/A,Liquids,Transportation
trn_pass,Passenger Rail,N/A,Liquids,Transportation
trn_pass_road,Bus,N/A,Liquids,Transportation
trn_pass_road,Bus,N/A,NG,Transportation
trn_pass_road_LDV,2W and 3W,N/A,Liquids,Transportation
trn_pass_road_LDV,2W and 3W,N/A,NG,Transportation
trn_pass_road_LDV_4W,Car,N/A,Hybrid Liquids,Transportation
trn_pass_road_LDV_4W,Car,N/A,Liquids,Transportation
trn_pass_road_LDV_4W,Car,N/A,NG,Transportation
trn_pass_road_LDV_4W,Large Car and Truck,N/A,Hybrid Liquids,Transportation
trn_pass_road_LDV_4W,Large Car and Truck,N/A,Liquids,Transportation
trn_pass_road_LDV_4W,Large Car and Truck,N/A,NG,Transportation
trn_pass_road_LDV_4W,Mini Car,N/A,Hybrid Liquids,Transportation
trn_pass_road_LDV_4W,Mini Car,N/A,Liquids,Transportation
trn_pass_road_LDV_4W,Mini Car,N/A,NG,Transportation
trn_shipping_intl,International Ship,N/A,Liquids,Transportation
